Name,AI Type,Commercial Type,Product,Description,Product Category,Package,Quick Filters,Availability,Identifier,Detail Page
Content Generation for Catalog,AI Feature,Premium,SAP Datasphere,Automates the creation of business rich metadata in the catalog.,Technology Platform,,,Generally Available,J224,https://discovery-center.cloud.sap/ai-feature/15213c47-7c33-4787-a97b-d28f3a031c5a/
Context Generation,AI Feature,Base,SAP LeanIX solutions,Provide users with task explanations for better understanding.,Business Transformation Management,,,Generally Available,J46,https://discovery-center.cloud.sap/ai-feature/fa2762c1-5080-480b-bf93-103933a0af11/
Conversational Planning,AI Feature,Premium,SAP S/4HANA Cloud Private Edition,Carry out planning operations in transportation cockpit using natural language.,Cloud ERP applications,Joule Premium for Supply Chain Management,,Generally Available,J135,https://discovery-center.cloud.sap/ai-feature/54d5a00e-2519-46da-88fa-b58b4f8ff4dc/
Creation of Fixed Asset Master Data,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Facilitate the creation of fixed asset master data with Joule.,Financial Management,,Joule,Generally Available,J298,https://discovery-center.cloud.sap/ai-feature/095edf47-cb36-48d8-bd8f-9a4bc9517991/
Data Actions,AI Feature,Premium,SAP Analytics Cloud,Generates advanced formula scripts and comments data action descriptions.,Financial Management,,,Generally Available,J470,https://discovery-center.cloud.sap/ai-feature/8e974edb-5d3e-4500-bc00-8549fbf8edd6/
Database Administration,AI Feature,Base,SAP HANA Cloud,AI-powered tool for task simplification and efficiency enhancement.,Technology Platform,,Joule,Generally Available,J214,https://discovery-center.cloud.sap/ai-feature/28b14ec8-e7be-4966-b33e-787021b2d05d/
Decision Generation,AI Feature,Base,SAP Build Process Automation,Assist process design by generating decision artifacts.,Technology Platform,,,Generally Available,J642,https://discovery-center.cloud.sap/ai-feature/0517fabc-df67-4042-9015-a57c1a9079ba/
Decision Summarization,AI Feature,Base,SAP Build Process Automation,Assist users with process automation design by summarizing undocumented rules.,Technology Platform,,,Generally Available,J643,https://discovery-center.cloud.sap/ai-feature/d9b9af67-e0a9-49cc-b79b-a8eddde1731b/
Depreciation Key Explanation,AI Feature,Premium,SAP S/4HANA Cloud Private Edition,Explain depreciation types and calculation procedures in natural language.,Cloud ERP applications,Joule Premium for Financial Management,,Generally Available,J898,https://discovery-center.cloud.sap/ai-feature/7f81035d-7177-494f-b232-b1e290c05f0c/
Document Data Extraction,AI Feature,Base,SAP Build Process Automation,Extract and process document data from PDFs and images using AI.,Technology Platform,,,Generally Available,J1284,https://discovery-center.cloud.sap/ai-feature/577af53b-83ac-4c49-8b02-72114d45ceb6/
Document Summary,AI Feature,Base,SAP Cloud ALM,Summarize content of selected document based on AI capability.,,,New,Generally Available,J1394,https://discovery-center.cloud.sap/ai-feature/111df0da-5177-4769-88ea-6a200ecae091/
Easy Filter,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Streamline your filtering experience in SAP Fiori elements-based list reports.,Financial Management,,,Generally Available,J91,https://discovery-center.cloud.sap/ai-feature/96cf54f4-566b-4428-916c-1e6231f0fdb2/
Electronic Document Error Handling,AI Feature,Base,SAP Document and Reporting Compliance,Get easy-to-understand explanations for electronic document errors with Joule.,Technology Platform,,Joule,Generally Available,J305,https://discovery-center.cloud.sap/ai-feature/1a1b66db-191d-41e6-b01d-d69b4d645850/
Electronic Document Error Handling,AI Feature,Base,SAP Document and Reporting Compliance,Get easy-to-understand explanations for electronic document errors with Joule.,Technology Platform,,,Generally Available,J1137,https://discovery-center.cloud.sap/ai-feature/d755130d-328a-4e41-b5b8-b0f507ee396c/
Embedded Edition,AI Feature,Premium,SAP Document AI,Automate document processing‚ workflow execution‚ and channel integration.,Technology Platform,,Featured,Generally Available,J342,https://discovery-center.cloud.sap/ai-feature/f9000cc5-4a1a-4c59-9dcd-a343c167d75d/
Enterprise Architecture Decision Management,AI Feature,Base,SAP LeanIX solutions,Analyze and extract relevant data to generate architecture decisions.,Business Transformation Management,,New,Generally Available,J1684,https://discovery-center.cloud.sap/ai-feature/e9e98379-9c5f-4f4a-84f6-12a772c66ae2/
Enterprise Search,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Search business data with natural language queries in SAP Fiori Launchpad.,Financial Management,,,Generally Available,J225,https://discovery-center.cloud.sap/ai-feature/ce1359ae-1f44-48ce-b9d8-6d2e73b23402/
Error Explanation,AI Feature,Premium,SAP S/4HANA Cloud Public Edition,Generate natural language descriptions and resolutions for error messages.,Financial Management,Joule Premium for Financial Management,,Generally Available,J227,https://discovery-center.cloud.sap/ai-feature/a6e21835-397b-402d-be1a-e92846dcc47d/
Error Resolution for Cost Accounting,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Explain errors to the business user and offer smart actions.,Financial Management,,Joule,Generally Available,J336,https://discovery-center.cloud.sap/ai-feature/56d1e4d0-5c07-4aa8-b226-64c8dd99750d/
Expense Report Validation Agent,AI Agent,Base,,Get smart support to minimize errors and simplify expense submission.,Spend Management,,Joule,Early Adopter Care (EAC),J327,https://discovery-center.cloud.sap/ai-feature/ba618aac-87c8-485d-8d3c-3338f6a8658a/
Expiring Price Handling,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Quickly detect and update all expiring prices in pricing systems with Joule.,Cloud ERP applications,,Joule,Generally Available,J313,https://discovery-center.cloud.sap/ai-feature/577815a8-947e-4a06-a961-1307ddc49242/
Explanation of Fixed Asset Depreciation Keys,AI Feature,Premium,SAP S/4HANA Cloud Public Edition,Explain depreciation types and calculation procedures in natural language.,Financial Management,Joule Premium for Financial Management,,Generally Available,J86,https://discovery-center.cloud.sap/ai-feature/15f5b518-2786-4908-953f-801172d7972a/
Explanation of Fixed Asset Key Figures,AI Feature,Premium,SAP S/4HANA Cloud Public Edition,Better insights into fixed asset key figures using AI-generated explanations.,Financial Management,Joule Premium for Financial Management,,Generally Available,J288,https://discovery-center.cloud.sap/ai-feature/8658cb4d-fc45-4db1-b5e3-68a63a255955/
Fixed Asset Key Figures Explanation,AI Feature,Base,SAP S/4HANA Cloud Private Edition,Understand the explanation of fixed asset key figures in natural language.,Financial Management,,,Generally Available,J966,https://discovery-center.cloud.sap/ai-feature/780e16a7-74cf-4118-b200-c13484d2f9b5/
Form Extension in Localization as a Self-Service,AI Feature,Premium,SAP S/4HANA Cloud Public Edition,Extend localized forms to meet your specific requirements.,Financial Management,Joule Premium for Financial Management,,Generally Available,J117,https://discovery-center.cloud.sap/ai-feature/f5f33f40-36d4-4265-b709-461c0c151587/
Form Generation,AI Feature,Base,SAP Build Process Automation,Generate process automation forms from natural language descriptions.,Technology Platform,,,Generally Available,J641,https://discovery-center.cloud.sap/ai-feature/ff9ca9a1-b443-405d-95bd-9b53a8a503db/
Generation of Full-Stack Applications,AI Feature,Base,SAP Build Code,Generate full-stack applications using natural language in SAP Build Code.,Technology Platform,,Joule,Generally Available,J36,https://discovery-center.cloud.sap/ai-feature/98319fdc-fd0d-4887-bba2-a3d6a15f31ed/
Generation of Integrations,AI Feature,Base,SAP Integration Suite,Generate integration scenarios using natural language prompts.,Technology Platform,,,Generally Available,J92,https://discovery-center.cloud.sap/ai-feature/464fdfbe-5809-4a0a-b6e8-65c79033837d/
Generation of SAP Fiori Elements and SAPUI5 Applications,AI Feature,Base,SAP Build Code,Generate full-stack applications using  natural language in SAP Build Code.,Technology Platform,,Joule,Generally Available,J114,https://discovery-center.cloud.sap/ai-feature/08cc63b7-8fd7-4535-a9d6-f66a9030174c/
Generation of SAP HANA Applications,AI Feature,Base,SAP Build Code,Generate SAP HANA applications using natural language in SAP Build Code.,Technology Platform,,Joule,Generally Available,J116,https://discovery-center.cloud.sap/ai-feature/7ee277ac-20af-4458-bb5a-8836d6a51899/
Generation of SAP Mobile Applications,AI Feature,Base,SAP Build Code,Generate SAP Mobile applications using natural language in SAP Build Code.,Technology Platform,,Joule,Generally Available,J115,https://discovery-center.cloud.sap/ai-feature/9cd6bb5e-4178-44c2-b5b3-325c561273e4/
Goods Receipt Processing,AI Feature,Premium,SAP S/4HANA Cloud Private Edition,Automatically check delivery documents with AI.,Cloud ERP applications,,,Generally Available,J28,https://discovery-center.cloud.sap/ai-feature/8d54e237-4ae9-427d-859a-c3e1cd694127/
In-house Service Initiation,AI Feature,Premium,SAP S/4HANA Cloud Private Edition,Initiate in-house services from paper-based information using AI technology.,Cloud ERP applications,Joule Premium for Supply Chain Management,,Generally Available,J240,https://discovery-center.cloud.sap/ai-feature/df0164e9-75f2-4547-80d3-586619709246/
Insights Description Generator,AI Feature,Base,SAP Signavio Process Transformation Manager,Creating clear‚ consistent‚ and business user–friendly descriptions.,Business Transformation Management,,,Generally Available,J669,https://discovery-center.cloud.sap/ai-feature/0614d66c-4e6d-42bc-b45b-135ba035d843/
Inventory Builder,AI Feature,Premium,SAP LeanIX solutions,Upload and analyze data formats to auto-discover architectural elements.,Business Transformation Management,,,Generally Available,J178,https://discovery-center.cloud.sap/ai-feature/3b4cd740-d09d-4e79-9efc-69bf49221e83/
Inventory Prompts,AI Feature,Base,SAP LeanIX solutions,Support analyzes of IT application landscapes.,Business Transformation Management,,,Generally Available,J45,https://discovery-center.cloud.sap/ai-feature/e3e00a83-6fc7-4ec4-9763-5d62f942e193/
Joule and Microsoft 365 Copilot,AI Feature,Base,Joule,Bi-directional integration between Joule and Microsoft 365 Copilot.,Technology Platform,,Joule,Generally Available,J762,https://discovery-center.cloud.sap/ai-feature/4dfa3fea-c5d2-40e3-959d-317b07b6b64e/
Joule with Regulatory Change Manager,AI Feature,Base,Regulatory Change Manager,Discover and evaluate regulatory updates and maintain compliance.,Technology Platform,,Joule,Generally Available,J85,https://discovery-center.cloud.sap/ai-feature/90b39e72-5dd5-4ae1-aef1-840c6e1ff6b2/
Joule with SAP Build Work Zone,AI Feature,Base,SAP Build Work Zone,Interact with SAP apps and Work Zone via natural language for instant actions.,Technology Platform,,Joule,Generally Available,J145,https://discovery-center.cloud.sap/ai-feature/8be96d98-f16d-41b4-968c-c295043c1d73/
Joule with SAP Business Technology Platform,AI Feature,Base,SAP Business Technology Platform,Quickly retrieve information about SAP BTP and your accounts with Joule.,Technology Platform,,Joule,Generally Available,J57,https://discovery-center.cloud.sap/ai-feature/9c079680-7938-4ddd-83c4-3d89a7943311/
Joule with SAP Datasphere,AI Feature,Base,SAP Datasphere,Streamline your SAP Datasphere tasks with an AI copilot.,Technology Platform,,Joule,Early Adopter Care (EAC),J294,https://discovery-center.cloud.sap/ai-feature/a2bc2dd0-4f0b-4d82-9f94-c3baaac6c83b/
Joule with SAP LeanIX,AI Feature,Base,SAP LeanIX solutions,Search and navigate to the right information through natural language queries.,Business Transformation Management,,Joule,Early Adopter Care (EAC),J284,https://discovery-center.cloud.sap/ai-feature/afef2f21-b812-4548-ab8a-cec5f8fedb10/
Joule with SAP Multi-Bank Connectivity,AI Feature,Base,SAP Multi-Bank Connectivity,Get quick answers about SAP Multi-Bank Connectivity from product documentation.,Financial Management,,Joule,Generally Available,J600,https://discovery-center.cloud.sap/ai-feature/5cd6a2a6-c3ba-4bf6-9111-5e2f95757a69/
Joule with SAP S/4HANA Cloud Private Edition,AI Feature,Base,SAP S/4HANA Cloud Private Edition,Streamline your informational‚ navigational‚ and transactional tasks.,Financial Management,,Joule,Generally Available,J54,https://discovery-center.cloud.sap/ai-feature/98ee8608-82bb-49c3-b4ca-805bd6594314/
Joule with SAP S/4HANA Cloud Public Edition,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Streamline your informational‚ navigational‚ and transactional tasks.,Financial Management,,Joule,Generally Available,J74,https://discovery-center.cloud.sap/ai-feature/59d61974-9d59-4e32-9026-189462bbf54f/
Joule with SAP Signavio solutions,AI Feature,Base,SAP Signavio solutions,Elevate your organization's process management and optimization.,Business Transformation Management,,Joule,Generally Available,J127,https://discovery-center.cloud.sap/ai-feature/c1ed93ca-2efd-4096-8300-613adf55cfef/
Journal Upload,AI Feature,Premium,SAP S/4HANA Cloud Private Edition,Accelerate period-end journal entries.,Financial Management,Joule Premium for Financial Management,,Generally Available,J247,https://discovery-center.cloud.sap/ai-feature/be5c57fd-4b09-436f-8a63-16362fce5547/
Maintenance Order Recommendation,AI Feature,Premium,SAP S/4HANA Cloud Private Edition,Get maintenance order recommendations from historical data.,Cloud ERP applications,Joule Premium for Supply Chain Management,,Generally Available,J241,https://discovery-center.cloud.sap/ai-feature/d2a47a4f-3ea2-4f5b-9bdf-43fc2a3d95f2/
Managing Supplier Invoices,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Enable basic actions on supplier invoices.,Spend Management,,New,Generally Available,J929,https://discovery-center.cloud.sap/ai-feature/1fa927d7-80ce-4b9b-8ea1-8ed95be8b8d3/
Master Data Governance,AI Feature,Premium,SAP S/4HANA Cloud Private Edition,Create master data change requests and generate summaries.,Financial Management,Joule Premium for Financial Management,,Generally Available,J151,https://discovery-center.cloud.sap/ai-feature/4cb78833-492a-43db-abb2-01747e7e4335/
Meeting Location Planner Agent,AI Agent,Base,,Helps executive assistant to organize offsite meetings.,Spend Management,,Joule,Early Adopter Care (EAC),J326,https://discovery-center.cloud.sap/ai-feature/65b25edc-21cc-4b54-8f3c-eb4524ab3117/
Natural Language Query,AI Feature,Base,SAP Analytics Cloud,Deliver tailored‚ contextual insights on user questions in natural language.,Technology Platform,,,Generally Available,J25,https://discovery-center.cloud.sap/ai-feature/6a655660-1f00-4b22-a6e4-b79167b527ec/
Note Corrections for Project Billing,AI Feature,Premium,SAP S/4HANA Cloud Public Edition,Propose grammatically correct notes for project billing request items.,Financial Management,Joule Premium for Financial Management,,Generally Available,J346,https://discovery-center.cloud.sap/ai-feature/cab0dc5c-6c85-4d8e-963a-cad7a64e012a/
Performance Indicators Recommender,AI Feature,Premium,SAP Signavio solutions,Discover metrics relevant for your business.,Business Transformation Management,,Joule,Generally Available,J120,https://discovery-center.cloud.sap/ai-feature/4be4b091-a23d-4f59-975e-65cb6a4a8fc5/
Performance Preparation Agent,AI Agent,Base,,Provide managers data-driven insights before 1:1 with employees.,Human Capital Management,,Joule,Generally Available,J671,https://discovery-center.cloud.sap/ai-feature/761a2305-b0a2-4262-b9a3-abd4945ad314/
Posting Issue Handling for Billing Documents,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Assist billing clerks to efficiently process billing docs with posting issues.,Financial Management,,Joule,Generally Available,J355,https://discovery-center.cloud.sap/ai-feature/f558354e-8de3-4b95-ae75-4cc5055cf911/
Predictive Planning,AI Feature,Base,SAP Analytics Cloud,Predictive planning creates accurate forecasts to speed up planning activities.,Technology Platform,,,Generally Available,J894,https://discovery-center.cloud.sap/ai-feature/07cbfbe5-5fec-4f2f-9e5b-8a7c2dfd6d74/
Process Analyzer‚ Text to Insight,AI Feature,Base,SAP Signavio solutions,Prompt to discover insights from your data.,Business Transformation Management,,,Generally Available,J112,https://discovery-center.cloud.sap/ai-feature/a6dde1d9-6da4-443f-874a-e6eb183e2bd5/
Process Analyzer‚ Text To Widget,AI Feature,Base,SAP Signavio solutions,Generate dashboard widgets with natural language queries.,Business Transformation Management,,,Generally Available,J212,https://discovery-center.cloud.sap/ai-feature/6d74c5e9-32c1-443c-be23-c7ebbc51d573/
Process Editing,AI Feature,Base,SAP Build Process Automation,Support process design with natural language editing for automation artifacts.,Technology Platform,,,Generally Available,J639,https://discovery-center.cloud.sap/ai-feature/143f1e51-609a-45d9-ab96-bf286e044a03/
Process Generation,AI Feature,Base,SAP Build Process Automation,Generate process artifacts from natural language to support process automation.,Technology Platform,,,Generally Available,J638,https://discovery-center.cloud.sap/ai-feature/50a434ab-f63c-4f3f-a5d2-c661b5d461f2/
Process Modeler,AI Feature,Premium,SAP Signavio solutions,Generate a BPMN diagram from a text description or image of a business process.,Business Transformation Management,,,Generally Available,J213,https://discovery-center.cloud.sap/ai-feature/84eb743d-acdb-48ff-b933-ec51fe9f5f12/
Process Recommender,AI Feature,Premium,SAP Signavio solutions,Get instant best practice recommendations.,Business Transformation Management,,Joule,Generally Available,J121,https://discovery-center.cloud.sap/ai-feature/0568e3e9-bef3-46d5-8b51-f519d8838320/
Process Summarization,AI Feature,Base,SAP Build Process Automation,Generate business summaries for undocumented process models.,Technology Platform,,,Generally Available,J640,https://discovery-center.cloud.sap/ai-feature/69b0874a-e8a6-49e3-b66c-4a6c5b1fd77f/
Processing of Incoming Quality Certificates with SAP Document AI,AI Feature,Premium,SAP S/4HANA Cloud Public Edition,Automatically process incoming quality certificate documents.,Cloud ERP applications,,,Generally Available,J358,https://discovery-center.cloud.sap/ai-feature/3fd5ea00-34fa-487e-a76a-be112a71220a/
Processing of Payment Advices with SAP Document AI,AI Feature,Premium,SAP S/4HANA Cloud Public Edition,Automate payment-advice processing to reduce errors and manual fixes.,Cloud ERP applications,,,Generally Available,J1104,https://discovery-center.cloud.sap/ai-feature/988b6b7c-ac4f-4c5f-be46-0366c7dc5a2e/
Project Services,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Manages project tasks through a conversational interface.,Cloud ERP applications,,Joule,Generally Available,J586,https://discovery-center.cloud.sap/ai-feature/bccabd59-564e-4a4d-84b3-67d6933348cd/
Purchase Order Approvals Reminder,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Streamline your purchase order approval workflows.,Spend Management,,Joule,Generally Available,J1310,https://discovery-center.cloud.sap/ai-feature/13b68daa-1ba2-4bfa-b7d3-4f65f4900d07/
Requirement Generation,AI Feature,Premium,SAP Cloud ALM,Generate requirements from meeting notes to improve Fit-to-Standard workshops.,Technology Platform,,,Generally Available,J778,https://discovery-center.cloud.sap/ai-feature/e5701d25-2615-49ad-acf3-4f2a6363a206/
Resolution of Implausible Meter Readings,AI Feature,Base,SAP S/4HANA Cloud Private Edition,Enables machine learning-based processing of implausible meter readings in IS-U.,Cloud ERP applications,,,Generally Available,J824,https://discovery-center.cloud.sap/ai-feature/4d67f2b1-6f72-4c6f-bce3-e6d4c0e89b1c/
Resolution of Outsorted Billing Documents,AI Feature,Base,SAP S/4HANA Cloud Private Edition,Process outsorted billing documents in IS-U.,Cloud ERP applications,,,Generally Available,J825,https://discovery-center.cloud.sap/ai-feature/f9a4201e-955f-4aaf-b41a-d2479fb13ed1/
Retrieval of Equipment Information in Service Management,AI Feature,Premium,SAP S/4HANA Cloud Private Edition,Give service managers a 360° view of service history on customer equipment.,Cloud ERP applications,Joule Premium for Supply Chain Management,Joule,Generally Available,J777,https://discovery-center.cloud.sap/ai-feature/3de36a16-73ca-4df6-94d2-ccd0dc806192/
Run Forecasts in Time Series or Line Charts,AI Feature,Base,SAP Analytics Cloud,Automatically predict future data values in stories time series and line charts.,Technology Platform,,,Generally Available,J885,https://discovery-center.cloud.sap/ai-feature/6ddc1967-60b4-4d85-b50e-121f4589d27e/
Sales Order Automatic Completion,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Streamline sales order completion with recommendations.,Cloud ERP applications,,,Generally Available,J43,https://discovery-center.cloud.sap/ai-feature/39a49e49-3ab6-46f5-889d-2035d9378cab/
Sales Order Creation,AI Feature,Base,SAP S/4HANA,Create sales orders from unstructured data.,Cloud ERP applications,,,Generally Available,J846,https://discovery-center.cloud.sap/ai-feature/451531fc-438b-4ecd-a3be-3efb74cb99f5/
Sales Order Creation,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Create sales orders from unstructured data.,Cloud ERP applications,,,Generally Available,J831,https://discovery-center.cloud.sap/ai-feature/5d3d1312-92d7-478a-8e95-f0f0130f5666/
Sales Order Creation,AI Feature,Base,SAP S/4HANA Cloud Private Edition,Create sales orders from unstructured data.,Cloud ERP applications,,,Generally Available,J832,https://discovery-center.cloud.sap/ai-feature/836b7ca4-0177-4757-8152-51846c586f1e/
Sales Order Creation from Unstructured Data,AI Feature,Premium,SAP S/4HANA Cloud Public Edition,Seamlessly create sales orders from unstructured data.,Cloud ERP applications,,,Generally Available,J404,https://discovery-center.cloud.sap/ai-feature/ffd1d0b2-76fc-4e1f-b1fd-523ec82bae54/
Sales Order Fulfillment Monitoring,AI Feature,Premium,SAP S/4HANA Cloud Private Edition,Monitor and resolve order fulfillment issues with AI.,Cloud ERP applications,Joule Premium for Financial Management,Joule,Generally Available,J169,https://discovery-center.cloud.sap/ai-feature/16fe0c99-25ff-48e2-81e5-f100d4c64767/
Sales Order Status Check,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Track sales order fulfillment and spot issues blocking completion.,Financial Management,,Joule,Generally Available,J1047,https://discovery-center.cloud.sap/ai-feature/8e12da05-b0e4-490f-9cf4-0cc2a9482f71/
SAP HANA application migration,AI Feature,Base,SAP HANA Cloud,Automate SAP HANA XS/XSA service layer migration to SAP CAP using GenAI.,Technology Platform,,,Generally Available,J180,https://discovery-center.cloud.sap/ai-feature/14bbef6b-5d85-4221-bd0e-342f569ef628/
SAP Joule for Consultants,AI Feature,Premium,SAP Joule for Consultants,Accelerate SAP projects and cloud transformations with AI assistance.,Technology Platform,SAP Joule for Consultants,Featured‚Joule,Generally Available,J146,https://discovery-center.cloud.sap/ai-feature/3c3c6f7d-7310-47a9-ae52-d7ddd2f0c2f2/
SAP Joule for Developers‚ ABAP AI capabilities,AI Feature,Base,SAP BTP‚ ABAP environment,Accelerate ABAP development with Joule.,Technology Platform,,Joule,Generally Available,J162,https://discovery-center.cloud.sap/ai-feature/7f373198-9a41-4416-9eed-bdfca445d37a/
SAP Joule for Developers‚ ABAP AI capabilities,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Accelerate ABAP development with Joule.,Financial Management,,Joule,Generally Available,J792,https://discovery-center.cloud.sap/ai-feature/3c06a28b-576b-47ba-a2be-de0588391d6a/
SAP Joule for Developers‚ ABAP AI capabilities,AI Feature,Base,SAP S/4HANA Cloud Private Edition,Accelerate ABAP development with Joule.,Financial Management,,Joule,Generally Available,J1195,https://discovery-center.cloud.sap/ai-feature/795cf9fa-d0cc-42b0-a3d7-52e8067e847d/
Script Optimization,AI Feature,Base,SAP Integration Suite,Optimize custom scripts effortlessly.,Technology Platform,,,Generally Available,J147,https://discovery-center.cloud.sap/ai-feature/99357ead-1ee2-4b9d-9b2f-f74d10f09262/
Script Task Generation,AI Feature,Base,SAP Build Process Automation,Generate executable JavaScript codes with natural language.,Technology Platform,,,Generally Available,J644,https://discovery-center.cloud.sap/ai-feature/f2310927-98ed-410a-86bb-1ca9ece68e21/
Semantic Generation,AI Feature,Premium,SAP Datasphere,Generate business semantics for non-SAP data sources.,Technology Platform,,,Generally Available,J329,https://discovery-center.cloud.sap/ai-feature/d22ae902-3e3d-4c78-9f8e-a656ecd2686d/
Settlement Rule Proposal for Asset Capitalization,AI Feature,Base,SAP S/4HANA Cloud Private Edition,Streamlines the creation of full settlement rules for investment measures.,Cloud ERP applications,,,Generally Available,J1182,https://discovery-center.cloud.sap/ai-feature/43cfa9f3-485c-4021-8dd1-e1349f471bea/
